"","Sample","Plot_Number","Plant","Plate","Well","Plot","Treatment","Zone","Percent_Moisture","Lat","Lon","Basel_Diameter_estimated","Half_Tree_Cover","Tree_Height","Trunk_Circumference"
"plate2-C09-ITS","C7O",7,"O",2,"C09","Con007","Control","Plateau",3.613807983,-41.96816102,-71.46105099,NA,NA,NA,NA
"plate2-C10-ITS","P12D",12,"D",2,"C10","Pine012","Pine","Plateau",7.696457472,-41.97052798,-71.45868503,18,128,247,56.54866776
"plate2-C11-ITS","P15J",15,"J",2,"C11","Pine015","Pine","Plateau",14.1188168,-41.97142803,-71.462865,27,172,410,84.82300165
"plate2-C12-ITS","C7J",7,"J",2,"C12","Con007","Control","Plateau",3.613807983,-41.96816102,-71.46105099,NA,NA,NA,NA
"plate2-D01-ITS","C9 Soil",9,"Soil",2,"D01","Con009","Control","Plateau",NA,-41.96637802,-71.45568397,NA,NA,NA,NA
"plate2-D02-ITS","C11 Soil",11,"Soil",2,"D02","Con011","Control","Plateau",0.913786253,-41.96943599,-71.45543603,NA,NA,NA,NA
"plate2-D03-ITS","P9AE",9,"AE",2,"D03","Pine009","Pine","Plateau",4.898688915,-41.96577,-71.45395998,17,137,410,53.40707511
"plate2-D04-ITS","S12J",12,"J",2,"D04","Sap012","Sapling","Plateau",5.976095618,-41.97022196,-71.45667999,3.2,42,104,10.05309649
"plate2-D05-ITS","P15Z",15,"Z",2,"D05","Pine015","Pine","Plateau",14.1188168,-41.97142803,-71.462865,27,172,410,84.82300165
"plate2-D06-ITS","C12AE",12,"AE",2,"D06","Con012","Control","Plateau",1.627096131,-41.97026202,-71.45733596,NA,NA,NA,NA
"plate2-D07-ITS","P7J",7,"J",2,"D07","Pine007","Pine","Plateau",5.192843866,-41.96773597,-71.45947603,13,140,320,40.8407045
"plate2-D08-ITS","S6B.1",6,"B.1",2,"D08","Sap006","Sapling","Plateau",6.803097345,-41.96683601,-71.46212697,4,58,60,12.56637061
"plate2-D09-ITS","C11J",11,"J",2,"D09","Con011","Control","Plateau",0.913786253,-41.96943599,-71.45543603,NA,NA,NA,NA
"plate2-D10-ITS","S15AG",15,"AG",2,"D10","Sap015","Sapling","Plateau",5.808047923,-41.97158402,-71.46218003,2.6,44,72,8.168140899
"plate2-D11-ITS","P14J",14,"J",2,"D11","Pine014","Pine","Plateau",10.84024254,-41.97169701,-71.461054,20,108,330,62.83185307
"plate2-D12-ITS","C6B.1",6,"B.1",2,"D12","Con006","Control","Plateau",3.833504625,-41.96762701,-71.45878603,NA,NA,NA,NA
