"Treatment","Sample","plotNumber","Zone","underscore","Morphospecies","uniqueID","PlantSpecies","MYC","PlantFUNCT.group"
"Pine","Pine013",13,"Plateau","_","FuzzyLeaf","Pine013_FuzzyLeaf","Erigeron sp","AM","flowering plant"
"Pine","Pine013",13,"Plateau","_","Grass","Pine013_Grass","Festuca sp","AM","grass"
"Pine","Pine013",13,"Plateau","_","GreenShrub","Pine013_GreenShrub","Gaultheria pumila","ERM","evergreen shrub"
"Pine","Pine013",13,"Plateau","_","GreenShrub","Pine013_GreenShrub","Gaultheria pumila","ERM","evergreen shrub"
"Pine","Pine013",13,"Plateau","_","OtherGreenShrub","Pine013_OtherGreenShrub","Baccharis magellanica","AM"," shrub"
"Pine","Pine014",14,"Plateau","_","Arugula","Pine014_Arugula","Hypochaeris sp","AM_facAM","flowering plant "
"Pine","Pine014",14,"Plateau","_","Dandelion","Pine014_Dandelion","Hypochaeris sp","AM_facAM","flowering plant "
"Pine","Pine014",14,"Plateau","_","Grass","Pine014_Grass","Festuca sp","AM","grass"
"Pine","Pine014",14,"Plateau","_","GreenShrub","Pine014_GreenShrub","Gaultheria pumila","ERM","evergreen shrub"
"Pine","Pine014",14,"Plateau","_","LeafyCushion","Pine014_LeafyCushion","Azorella sp","AM","flowering plant"
"Pine","Pine014",14,"Plateau","_","OtherGreenShrub","Pine014_OtherGreenShrub","Baccharis magellanica","AM"," shrub"
"Pine","Pine014",14,"Plateau","_","RedAloe","Pine014_RedAloe","Poa sp","AM","grass"
"Pine","Pine014",14,"Plateau","_","Rosette","Pine014_Rosette","Viola sp","AM","flowering plant"
"Pine","Pine014",14,"Plateau","_","SpikeyRose","Pine014_SpikeyRose","Nassauvia revoluta","AM","flowering plant "
"Pine","Pine015",15,"Plateau","_","Dandelion","Pine015_Dandelion","Hypochaeris sp","AM_facAM","flowering plant "
"Pine","Pine015",15,"Plateau","_","FatTall","Pine015_FatTall","","",""
"Pine","Pine015",15,"Plateau","_","Grass","Pine015_Grass","Festuca sp","AM","grass"
"Pine","Pine015",15,"Plateau","_","TallRed","Pine015_TallRed","Euphrasia meiantha","NM","flowering plant"
"Pine","Pine015",15,"Plateau","_","YellowFlower","Pine015_YellowFlower","Senecio agyreus","AM","flowering plant"
"Sapling","Sap001",1,"Plateau","_","Clover","Sap001_Clover","Oxalis adenophylla","AM","flowering plant "
"Sapling","Sap001",1,"Plateau","_","Grass","Sap001_Grass","Festuca sp","AM","grass"
"Sapling","Sap001",1,"Plateau","_","LeafyCushion","Sap001_LeafyCushion","Azorella sp","AM","flowering plant"
"Sapling","Sap001",1,"Plateau","_","NewGreen","Sap001_NewGreen","","",""
"Sapling","Sap001",1,"Plateau","_","Rosette","Sap001_Rosette","Viola sp","AM","flowering plant"
"Sapling","Sap001",1,"Plateau","_","SpikeyCushion","Sap001_SpikeyCushion","Mulinum echinus","AM","dense spiny shrub"
"Sapling","Sap001",1,"Plateau","_","SpikeyGreen","Sap001_SpikeyGreen","Perezia piliffera /fonkii?","AM","flowering plant "
"Sapling","Sap002",2,"Plateau","_","Arugula","Sap002_Arugula","Hypochaeris sp","AM_facAM","flowering plant "
"Sapling","Sap002",2,"Plateau","_","Arugula","Sap002_Arugula","Hypochaeris sp","AM_facAM","flowering plant "
"Sapling","Sap002",2,"Plateau","_","Arugula","Sap002_Arugula","Hypochaeris sp","AM_facAM","flowering plant "
"Sapling","Sap002",2,"Plateau","_","Arugula","Sap002_Arugula","Hypochaeris sp","AM_facAM","flowering plant "
"Sapling","Sap002",2,"Plateau","_","Arugula","Sap002_Arugula","Hypochaeris sp","AM_facAM","flowering plant "
"Sapling","Sap002",2,"Plateau","_","Clover","Sap002_Clover","Oxalis adenophylla","AM","flowering plant"
"Sapling","Sap002",2,"Plateau","_","Dandelion","Sap002_Dandelion","Hypochaeris sp","AM_facAM","flowering plant "
"Sapling","Sap002",2,"Plateau","_","Dandelion","Sap002_Dandelion","Hypochaeris sp","AM_facAM","flowering plant "
"Sapling","Sap002",2,"Plateau","_","Dandelion","Sap002_Dandelion","Hypochaeris sp","AM_facAM","flowering plant "
"Sapling","Sap002",2,"Plateau","_","Dandelion","Sap002_Dandelion","Hypochaeris sp","AM_facAM","flowering plant "
"Sapling","Sap002",2,"Plateau","_","Dandelion","Sap002_Dandelion","Hypochaeris sp","AM_facAM","flowering plant "
"Sapling","Sap002",2,"Plateau","_","Grass","Sap002_Grass","Festuca sp","AM","grass"
"Sapling","Sap002",2,"Plateau","_","GreenShrub","Sap002_GreenShrub","Gaultheria pumila","ERM","evergreen shrub"
"Sapling","Sap002",2,"Plateau","_","LeafyCushion","Sap002_LeafyCushion","Azorella sp","AM","flowering plant"
"Sapling","Sap002",2,"Plateau","_","RedAloe","Sap002_RedAloe","Poa sp","AM","grass"
"Sapling","Sap002",2,"Plateau","_","Rosette","Sap002_Rosette","Viola sp","AM","flowering plant"
"Sapling","Sap002",2,"Plateau","_","Rosette","Sap002_Rosette","Viola sp","AM","flowering plant"
"Sapling","Sap002",2,"Plateau","_","SpikeyCushion","Sap002_SpikeyCushion","Mulinum echinus","AM","dense spiny shrub"
"Sapling","Sap002",2,"Plateau","_","YellowFlower","Sap002_YellowFlower","Senecio agyreus","AM","flowering plant"
"Sapling","Sap003",3,"Plateau","_","Clover","Sap003_Clover","Oxalis adenophylla","AM","flowering plant"
"Sapling","Sap003",3,"Plateau","_","Dandelion","Sap003_Dandelion","Hypochaeris sp","AM_facAM","flowering plant "
"Sapling","Sap003",3,"Plateau","_","Grass","Sap003_Grass","Festuca sp","AM","grass"
"Sapling","Sap003",3,"Plateau","_","GreenShrub","Sap003_GreenShrub","Gaultheria pumila","ERM","evergreen shrub"
"Sapling","Sap003",20,"Plateau","_","LeafyCushion","Sap003_LeafyCushion","Azorella sp","AM","flowering plant "
