,Sample,Plot_Number,Plant,Plate,Well,Plot,C,pH,Pdisp,NH4,NO3,Morphospecies,Treatment,Zone,Percent_Moisture,Lat,Lon,Basel_Diameter_estimated,Half_Tree_Cover,Tree_Height,Trunk_Circumference,PlantSpecies,MYC,PlantFUNCT.group,PlantSpecies.1,MYC.1,PlantFUNCT.group.1,PlantFUNCT.group.2,uniqueID,LeafDryMass,LeafH20Weight,LWC,LDMC,MLA,SLA
61,C9AE,9,AE,2,B02,Con009,1.34,5.6,6.8,26.6,9.9,SmallShrub,Control,Plateau,NA,-41.96637802,-71.45568397,NA,NA,NA,NA,Empetrum rubrum,ERM,evergreen shrub,Empetrum rubrum,ERM,evergreen shrub,evergreen shrub,Con009_SmallShrub,0.08,1,0.021276596,0.001702128,7.200333727,0.090004172
62,C9D,9,D,1,F04,Con009,1.34,5.6,6.8,26.6,9.9,YellowFlower,Control,Plateau,NA,-41.96637802,-71.45568397,NA,NA,NA,NA,Senecio agyreus,AM,flowering plant,Senecio agyreus,AM,flowering plant,flowering plant,Con009_YellowFlower,0.24,0.66,0.03,0.010909091,84.82835392,0.353451475
63,C10B,10,B,1,A04,Con010,1.26,5.4,6.1,23.8,9.8,Grass,Control,Plateau,0.762559809,-41.96778601,-71.45405704,NA,NA,NA,NA,Festuca sp,AM,grass,Festuca sp,AM,grass,grass,Con010_Grass,NA,NA,NA,NA,NA,NA
64,C10A,10,A,3,E01,Con010,1.26,5.4,6.1,23.8,9.8,GreenShrub,Control,Plateau,0.762559809,-41.96778601,-71.45405704,NA,NA,NA,NA,Gaultheria pumila,ERM,evergreen shrub,Gaultheria pumila,ERM,evergreen shrub,evergreen shrub,Con010_GreenShrub,0.16,0.16,0.002253521,0.002253521,11.85510073,0.07409438
65,C10J,10,J,1,F08,Con010,1.26,5.4,6.1,23.8,9.8,RedAloe,Control,Plateau,0.762559809,-41.96778601,-71.45405704,NA,NA,NA,NA,Poa sp,AM,grass,Poa sp,AM,grass,grass,Con010_RedAloe,0.17,0.16,0.022857143,0.024285714,164.8725736,0.969838668
66,C10C,10,C,1,H01,Con010,1.26,5.4,6.1,23.8,9.8,Rosette,Control,Plateau,0.762559809,-41.96778601,-71.45405704,NA,NA,NA,NA,Viola sp,AM,flowering plant,Viola sp,AM,flowering plant,flowering plant,Con010_Rosette,0.08,0.27,0.008181818,0.002424242,26.35867436,0.32948343
67,C10AE,10,AE,2,B11,Con010,1.26,5.4,6.1,23.8,9.8,SmallShrub,Control,Plateau,0.762559809,-41.96778601,-71.45405704,NA,NA,NA,NA,Empetrum rubrum,ERM,evergreen shrub,Empetrum rubrum,ERM,evergreen shrub,evergreen shrub,Con010_SmallShrub,0.01,0.07,0.00125,0.000178571,4.376436369,0.437643637
68,C11J,11,J,2,D09,Con011,3.72,5.7,6.3,26.6,12.6,RedAloe,Control,Plateau,0.913786253,-41.96943599,-71.45543603,NA,NA,NA,NA,Poa sp,AM,grass,Poa sp,AM,grass,grass,Con011_RedAloe,0.05,0.04,0.008,0.01,109.8707268,2.197414536
69,C11AE,11,AE,2,E09,Con011,3.72,5.7,6.3,26.6,12.6,SmallShrub,Control,Plateau,0.913786253,-41.96943599,-71.45543603,NA,NA,NA,NA,Empetrum rubrum,ERM,evergreen shrub,Empetrum rubrum,ERM,evergreen shrub,evergreen shrub,Con011_SmallShrub,0.05,0.08,0.00109589,0.000684932,5.679855025,0.113597101
70,C11O,11,O,1,E11,Con011,3.72,5.7,6.3,26.6,12.6,TallRed,Control,Plateau,0.913786253,-41.96943599,-71.45543603,NA,NA,NA,NA,Euphrasia meiantha,NM,flowering plant,Euphrasia meiantha,NM,flowering plant,flowering plant,Con011_TallRed,0.08,0.23,0.008846154,0.003076923,26.81396813,0.335174602
71,C11D,11,D,2,F07,Con011,3.72,5.7,6.3,26.6,12.6,YellowFlower,Control,Plateau,0.913786253,-41.96943599,-71.45543603,NA,NA,NA,NA,Senecio agyreus,AM,flowering plant,Senecio agyreus,AM,flowering plant,flowering plant,Con011_YellowFlower,0.21,0.53,0.023043478,0.009130435,74.63154016,0.355388286
72,C12B,12,B,1,C10,Con012,3.93,5.4,6.7,35,22.4,Grass,Control,Plateau,1.627096131,-41.97026202,-71.45733596,NA,NA,NA,NA,Festuca sp,AM,grass,Festuca sp,AM,grass,grass,Con012_Grass,0.09,0.02,0.002857143,0.012857143,62.79086469,0.697676274
73,C12A,12,A,2,A02,Con012,3.93,5.4,6.7,35,22.4,GreenShrub,Control,Plateau,1.627096131,-41.97026202,-71.45733596,NA,NA,NA,NA,Gaultheria pumila,ERM,evergreen shrub,Gaultheria pumila,ERM,evergreen shrub,evergreen shrub,Con012_GreenShrub,0.1,0.08,0.0016,0.002,11.84602126,0.118460213
74,C12AG,12,AG,1,G03,Con012,3.93,5.4,6.7,35,22.4,OtherGreenShrub,Control,Plateau,1.627096131,-41.97026202,-71.45733596,NA,NA,NA,NA,Baccharis magellanica,AM,evergreen shrub,Baccharis magellanica,AM,evergreen shrub,shrub,Con012_OtherGreenShrub,NA,NA,NA,NA,NA,NA
75,C12AE,12,AE,2,D06,Con012,3.93,5.4,6.7,35,22.4,SmallShrub,Control,Plateau,1.627096131,-41.97026202,-71.45733596,NA,NA,NA,NA,Empetrum rubrum,ERM,evergreen shrub,Empetrum rubrum,ERM,evergreen shrub,evergreen shrub,Con012_SmallShrub,0.01,0.04,0.000606061,0.000151515,4.226080106,0.422608011
76,C13Y,13,Y,2,G02,Con013,3.02,5.6,8.8,23.8,15.6,FatTall,Control,Plateau,6.218634082,-41.97067802,-71.45866298,NA,NA,NA,NA,,,,,,,,Con013_FatTall,NA,NA,NA,NA,NA,NA
77,C13B,13,B,1,H02,Con013,3.02,5.6,8.8,23.8,15.6,Grass,Control,Plateau,6.218634082,-41.97067802,-71.45866298,NA,NA,NA,NA,Festuca sp,AM,grass,Festuca sp,AM,grass,grass,Con013_Grass,0.17,0.11,0.018333333,0.028333333,96.53236618,0.567837448
78,C13A,13,A,3,B11,Con013,3.02,5.6,8.8,23.8,15.6,GreenShrub,Control,Plateau,6.218634082,-41.97067802,-71.45866298,NA,NA,NA,NA,Gaultheria pumila,ERM,evergreen shrub,Gaultheria pumila,ERM,evergreen shrub,evergreen shrub,Con013_GreenShrub,0.01,0.03,0.000410959,0.000136986,12.53576165,1.253576165
